id,name
301,Kancelář prezidenta republiky
302,Poslanecká sněmovna Parlamentu
303,Senát Parlamentu
304,Úřad vlády České republiky
305,Bezpečnostní informační služba
306,Ministerstvo zahraničních věcí
307,Ministerstvo obrany
308,Národní bezpečnostní úřad
309,Kancelář veřejného ochránce práv
312,Ministerstvo financí
313,Ministerstvo práce a sociálních věcí
314,Ministerstvo vnitra
315,Ministerstvo životního prostředí
317,Ministerstvo pro místní rozvoj
321,Grantová agentura České republiky
322,Ministerstvo průmyslu a obchodu
327,Ministerstvo dopravy
328,Český telekomunikační úřad
329,Ministerstvo zemědělství
333,"Ministerstvo školství, mládeže a tělovýchovy"
334,Ministerstvo kultury
335,Ministerstvo zdravotnictví
336,Ministerstvo spravedlnosti
343,Úřad pro ochranu osobních údajů
344,Úřad průmyslového vlastnictví
345,Český statistický úřad
346,Český úřad zeměměřický a katastrální
348,Český báňský úřad
349,Energetický regulační úřad
353,Úřad pro ochranu hospodářské soutěže
355,Ústav pro studium totalitních režimů
358,Ústavní soud
359,Úřad Národní rozpočtové rady
361,Akademie věd České republiky
362,Národní sportovní agentura
364,Digitální a informační agentura
371,Úřad pro dohled nad hospodařením politických stran a politických hnutí
372,Rada pro rozhlasové a televizní vysílání
374,Správa státních hmotných rezerv
375,Státní úřad pro jadernou bezpečnost
376,Generální inspekce bezpečnostních sborů
377,Technologická agentura České republiky
378,Národní úřad pro kybernetickou a informační bezpečnost
381,Nejvyšší kontrolní úřad
396,Státní dluh
397,Operace státních finančních aktiv
398,Všeobecná pokladní správa
900,Zdravotní pojišťovny
3010001,Kancelář prezidenta republiky
3020001,Poslanecká sněmovna Parlamentu
3030001,Senát Parlamentu
3040001,Úřad vlády České republiky
3050001,Bezpečnostní informační služba
3060001,Ministerstvo zahraničních věcí
3060002,Česká rozvojová agentura
3070001,Ministerstvo obrany
3080001,Národní bezpečnostní úřad
3090001,Kancelář veřejného ochránce práv
3120001,Ministerstvo financí
3120002,Generální finanční ředitelství
3120003,Generální ředitelství cel
3120004,Úřad pro zastupování státu ve věcech majetkových
3120005,Kancelář finančního arbitra
3120006,Finanční analytický úřad
3130001,Ministerstvo práce a sociálních věcí
3130002,Česká správa sociálního zabezpečení
3130003,Úřad pro mezinárodněprávní ochranu dětí
3130008,Úřad práce České republiky
3130009,Státní úřad inspekce práce
3140001,Ministerstvo vnitra
3140002,Policejní akademie České republiky
3140003,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Praze
3140004,Správa uprchlických zařízení Ministerstva vnitra
3140005,Muzeum Policie České republiky
3140007,Střední odborná škola požární ochrany a Vyšší odborná škola požární ochrany
3140010,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově
3140012,Hasičský záchranný sbor Královéhradeckého kraje
3140013,Hasičský záchranný sbor Jihočeského kraje
3140014,Hasičský záchranný sbor Plzeňského kraje
3140015,Hasičský záchranný sbor Karlovarského kraje
3140016,Hasičský záchranný sbor Jihomoravského kraje
3140017,Hasičský záchranný sbor Moravskoslezského kraje
3140018,Hasičský záchranný sbor Kraje Vysočina
3140019,Hasičský záchranný sbor Středočeského kraje
3140020,Hasičský záchranný sbor Pardubického kraje
3140021,Hasičský záchranný sbor Olomouckého kraje
3140022,Hasičský záchranný sbor hlavního města Prahy
3140023,Hasičský záchranný sbor Ústeckého kraje
3140024,Hasičský záchranný sbor Zlínského kraje
3140025,Hasičský záchranný sbor Libereckého kraje
3140026,Česká republika - Státní oblastní archiv v Třeboni
3140027,Zemský archiv v Opavě
3140028,Státní oblastní archiv v Plzni
3140029,Moravský zemský archiv v Brně
3140030,Státní oblastní archiv v Hradci Králové
3140031,Státní oblastní archiv v Praze
3140032,ČR - Státní oblastní archiv v Litoměřicích
3140033,Národní archiv
3140034,Krajské ředitelství policie Pardubického kraje
3140035,Krajské ředitelství Policie Libereckého kraje
3140036,Krajské ředitelství policie Karlovarského kraje
3140037,Krajské ředitelství policie Olomouckého kraje
3140038,Krajské ředitelství policie kraje Vysočina
3140039,Krajské ředitelství policie Zlínského kraje
3140041,Krajské ředitelství policie hlavního města Prahy
3140042,Krajské ředitelství policie Středočeského kraje
3140043,Krajské ředitelství policie Jihomoravského kraje
3140044,Krajské ředitelství policie Moravskoslezského kraje
3140045,Krajské ředitelství policie Jihočeského kraje
3140046,Krajské ředitelství policie Plzeňského kraje
3140047,Krajské ředitelství policie Ústeckého kraje
3140048,Krajské ředitelství policie Královehradeckého kraje
3140049,Olymp Centrum sportu Ministerstva vnitra
3140050,Záchranný útvar Hasičského záchranného sboru České republiky
3140051,Zdravotnické zařízení Ministerstva vnitra
3150001,Ministerstvo životního prostředí
3150003,Česká inspekce životního prostředí
3150004,Agentura ochrany přírody a krajiny České republiky
3170001,Ministerstvo pro místní rozvoj
3170003,Ústav územního rozvoje
3210001,Grantová agentura České republiky
3220001,Ministerstvo průmyslu a obchodu
3220002,Puncovní úřad Praha
3220003,Česká obchodní inspekce
3220004,"Úřad pro technickou normalizaci, metrologii a státní zkušebnictví"
3220005,ČR-Státní energetická inspekce
3220006,Správa úložišť radioaktivních odpadů
3220007,Český úřad pro zkoušení zbraní a střeliva
3270001,Ministerstvo dopravy
3270002,Státní plavební správa
3270003,Úřad pro civilní letectví
3270004,Drážní úřad
3270005,Ředitelství vodních cest České republiky
3270006,Ústav pro odborné zjišťování příčin leteckých nehod
3270007,Drážní inspekce
3270008,Dopravní a energetický stavební úřad
3280001,Český telekomunikační úřad
