id,name
301,Kancelář prezidenta republiky
302,Poslanecká sněmovna Parlamentu
303,Senát Parlamentu
304,Úřad vlády České republiky
305,Bezpečnostní informační služba
306,Ministerstvo zahraničních věcí
307,Ministerstvo obrany
308,Národní bezpečnostní úřad
309,Kancelář veřejného ochránce práv
312,Ministerstvo financí
313,Ministerstvo práce a sociálních věcí
314,Ministerstvo vnitra
315,Ministerstvo životního prostředí
317,Ministerstvo pro místní rozvoj
321,Grantová agentura České republiky
322,Ministerstvo průmyslu a obchodu
327,Ministerstvo dopravy
328,Český telekomunikační úřad
329,Ministerstvo zemědělství
333,"Ministerstvo školství, mládeže a tělovýchovy"
334,Ministerstvo kultury
335,Ministerstvo zdravotnictví
336,Ministerstvo spravedlnosti
343,Úřad pro ochranu osobních údajů
344,Úřad průmyslového vlastnictví
345,Český statistický úřad
346,Český úřad zeměměřický a katastrální
348,Český báňský úřad
349,Energetický regulační úřad
353,Úřad pro ochranu hospodářské soutěže
355,Ústav pro studium totalitních režimů
358,Ústavní soud
359,Úřad Národní rozpočtové rady
361,Akademie věd České republiky
362,Národní sportovní agentura
364,Digitální a informační agentura
371,Úřad pro dohled nad hospodařením politických stran a politických hnutí
372,Rada pro rozhlasové a televizní vysílání
374,Správa státních hmotných rezerv
375,Státní úřad pro jadernou bezpečnost
376,Generální inspekce bezpečnostních sborů
377,Technologická agentura České republiky
378,Národní úřad pro kybernetickou a informační bezpečnost
381,Nejvyšší kontrolní úřad
396,Státní dluh
397,Operace státních finančních aktiv
398,Všeobecná pokladní správa
