id,id_level,id_1,id_2,id_3,id_4,name_short,name,name_long
1,1,1,,,,Daňové příjmy,Daňové příjmy,Daňové příjmy
11,2,1,11,,,"Daně z P, zisku","Daně z příjmů, zisku a kapitálových výnosů","Daně z příjmů, zisku a kapitálových výnosů"
111,3,1,11,111,,DP fyz. osob,Daně z příjmů fyzických osob,Daně z příjmů fyzických osob
1111,4,1,11,111,1111,DP FO ze záv.čin,Daň z příjmů fyzických osob ze závislé činnosti a funkčních,Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků
1111,4,1,11,111,1111,DP FO - plátci,Daň z příjmů fyzických osob placená plátci,Daň z příjmů fyzických osob placená plátci
1112,4,1,11,111,1112,DP FO z SVČ,Daň z příjmů fyzických osob ze samostatné výdělečné činnosti,Daň z příjmů fyzických osob ze samostatné výdělečné činnosti
1112,4,1,11,111,1112,DP FO - poplatník,Daň z příjmů fyzických osob placená poplatníky,Daň z příjmů fyzických osob placená poplatníky
1113,4,1,11,111,1113,DP FO z kapitálu,Daň z příjmů fyzických osob z kapitálových výnosů,Daň z příjmů fyzických osob z kapitálových výnosů
1113,4,1,11,111,1113,DP FO - srážkou,Daň z příjmů fyzických osob vybíraná srážkou,Daň z příjmů fyzických osob vybíraná srážkou
1119,4,1,11,111,1119,Zrušené D FO,"Zrušené daně, jejichž předmětem je příjem fyzických osob","Zrušené daně, jejichž předmětem je příjem fyzických osob"
112,3,1,11,112,,DP práv.osob,Daně z příjmů právnických osob,Daně z příjmů právnických osob
1121,4,1,11,112,1121,DP PrO,Daň z příjmů právnických osob,Daň z příjmů právnických osob
1122,4,1,11,112,1122,DP PrO za obce,Daň z příjmů právnických osob za obce,Daň z příjmů právnických osob za obce
1123,4,1,11,112,1123,DP PrO za kraje,Daň z příjmů právnických osob za kraje,Daň z příjmů právnických osob za kraje
1129,4,1,11,112,1129,Zrušené daně PrO,"Zrušené daně, jejichž předmětem je příjem právnických osob","Zrušené daně, jejichž předmětem je příjem právnických osob"
12,2,1,12,,,D ze zboží tuz,Daně ze zboží a služeb v tuzemsku,Daně ze zboží a služeb v tuzemsku
121,3,1,12,121,,Obec D ze zbož,Obecné daně ze zboží a služeb v tuzemsku,Obecné daně ze zboží a služeb v tuzemsku
1211,4,1,12,121,1211,DPH,Daň z přidané hodnoty,Daň z přidané hodnoty
1219,4,1,12,121,1219,Zrušené D zboží,Zrušené daně ze zboží a služeb,Zrušené daně ze zboží a služeb
122,3,1,12,122,,Zvlášt D ze zbož,Zvláštní daně a poplatky ze zboží a služeb v tuzemsku,Zvláštní daně a poplatky ze zboží a služeb v tuzemsku
1221,4,1,12,122,1221,SpD z min.olejů,Spotřební daň z minerálních olejů,Spotřební daň z minerálních olejů
1222,4,1,12,122,1222,SpD z lihu,Spotřební daň z lihu,Spotřební daň z lihu
1223,4,1,12,122,1223,SpD  z piva,Spotřební daň z piva,Spotřební daň z piva
1224,4,1,12,122,1224,SpD z vína ,Spotřební daň z vína a meziproduktů,Spotřební daň z vína a meziproduktů
1225,4,1,12,122,1225,SpD z  tabák.výr,Spotřební daň z tabákových výrobků,Spotřební daň z tabákových výrobků
1226,4,1,12,122,1226,Popl za ozón,Poplatek za látky poškozující nebo ohrožující ozónovou vrstv,Poplatek za látky poškozující nebo ohrožující ozónovou vrstvu Země
1227,4,1,12,122,1227,Přípl.Prod.Kinem,Příplatek k ceně vstupného na veřejnou produkci kinematograf,Příplatek k ceně vstupného na veřejnou produkci kinematografického díla
1227,4,1,12,122,1227,Audioviz. poplatky,Audiovizuální poplatky,Audiovizuální poplatky
1228,4,1,12,122,1228,SpD ze surov. tabáku,Spotřební daň ze surového tabáku,Spotřební daň ze surového tabáku
1229,4,1,12,122,1229,SpD-zahřív.tab.výr.,Spotřební daň ze zahřívaných tabákových výrobků,Spotřební daň ze zahřívaných tabákových výrobků
123,3,1,12,123,,Zvlášt D ze zboží,Zvláštní daně a poplatky ze zboží a služeb v tuzemsku,Zvláštní daně a poplatky ze zboží a služeb v tuzemsku
1231,4,1,12,123,1231,Daň z zem.pl. a plyn,Daň ze zemního plynu a některých dalších plynů,Daň ze zemního plynu a některých dalších plynů
1232,4,1,12,123,1232,Daň z pevných paliv,Daň z pevných paliv,Daň z pevných paliv
1233,4,1,12,123,1233,Daň z elektřiny,Daň z elektřiny,Daň z elektřiny
1234,4,1,12,123,1234,Odvod z el. ze sl. z,Odvod z elektřiny ze slunečního záření,Odvod z elektřiny ze slunečního záření
1235,4,1,12,123,1235,Daň z digit. služeb,Daň z digitálních služeb,Daň z digitálních služeb
13,2,1,13,,,DaP vybr.čin,Daně a poplatky z vybraných činností a služeb,Daně a poplatky z vybraných činností a služeb
132,3,1,13,132,,Daně z mot.voz.,Daně a poplatky z provozu motorových vozidel,Daně a poplatky z provozu motorových vozidel
1321,4,1,13,132,1321,Daň silniční,Daň silniční,Daň silniční
1322,4,1,13,132,1322,Popl.-dálnice,Poplatek za užívání dálnic a rychlostních silnic,Poplatek za užívání dálnic a rychlostních silnic
133,3,1,13,133,,Poplatky ŽP,Poplatky a odvody v oblasti  životního prostředí,Poplatky a odvody v oblasti  životního prostředí
1331,4,1,13,133,1331,P-odp.v. povrch,Poplatky za vypouštění odpadních vod do vod povrchových,Poplatky za vypouštění odpadních vod do vod povrchových
